,Name,Composer,Name
36,Livin' On The Edge,"Steven Tyler, Joe Perry, Mark Hudson",Rock
37,All I Really Want,Alanis Morissette & Glenn Ballard,Rock
38,You Oughta Know,Alanis Morissette & Glenn Ballard,Rock
39,Perfect,Alanis Morissette & Glenn Ballard,Rock
40,Hand In My Pocket,Alanis Morissette & Glenn Ballard,Rock
41,Right Through You,Alanis Morissette & Glenn Ballard,Rock
42,Forgiven,Alanis Morissette & Glenn Ballard,Rock
43,You Learn,Alanis Morissette & Glenn Ballard,Rock
44,Head Over Feet,Alanis Morissette & Glenn Ballard,Rock
45,Mary Jane,Alanis Morissette & Glenn Ballard,Rock
46,Ironic,Alanis Morissette & Glenn Ballard,Rock
47,Not The Doctor,Alanis Morissette & Glenn Ballard,Rock
48,Wake Up,Alanis Morissette & Glenn Ballard,Rock
49,You Oughta Know (Alternate),Alanis Morissette & Glenn Ballard,Rock
50,We Die Young,Jerry Cantrell,Rock
51,Man In The Box,"Jerry Cantrell, Layne Staley",Rock
52,Sea Of Sorrow,Jerry Cantrell,Rock
53,Bleed The Freak,Jerry Cantrell,Rock
54,I Can't Remember,"Jerry Cantrell, Layne Staley",Rock
55,"Love, Hate, Love","Jerry Cantrell, Layne Staley",Rock
56,It Ain't Like That,"Jerry Cantrell, Michael Starr, Sean Kinney",Rock
57,Sunshine,Jerry Cantrell,Rock
58,Put You Down,Jerry Cantrell,Rock
59,Confusion,"Jerry Cantrell, Michael Starr, Layne Staley",Rock
60,I Know Somethin (Bout You),Jerry Cantrell,Rock
61,Real Thing,"Jerry Cantrell, Layne Staley",Rock
62,Cochise,Audioslave/Chris Cornell,Rock
63,Show Me How to Live,Audioslave/Chris Cornell,Rock
64,Gasoline,Audioslave/Chris Cornell,Rock
65,What You Are,Audioslave/Chris Cornell,Rock
66,Like a Stone,Audioslave/Chris Cornell,Rock
67,Set It Off,Audioslave/Chris Cornell,Rock
68,Shadow on the Sun,Audioslave/Chris Cornell,Rock
69,I am the Highway,Audioslave/Chris Cornell,Rock
70,Exploder,Audioslave/Chris Cornell,Rock
71,Hypnotize,Audioslave/Chris Cornell,Rock
72,Bring'em Back Alive,Audioslave/Chris Cornell,Rock
73,Light My Way,Audioslave/Chris Cornell,Rock
74,Getaway Car,Audioslave/Chris Cornell,Rock
75,The Last Remaining Light,Audioslave/Chris Cornell,Rock
76,You Shook Me,J B Lenoir/Willie Dixon,Rock
77,I Can't Quit You Baby,Willie Dixon,Rock
78,Communication Breakdown,Jimmy Page/John Bonham/John Paul Jones,Rock
79,Dazed and Confused,Jimmy Page,Rock
80,The Girl I Love She Got Long Black Wavy Hair,Jimmy Page/John Bonham/John Estes/John Paul Jones/Robert Plant,Rock
81,What is and Should Never Be,Jimmy Page/Robert Plant,Rock
82,Communication Breakdown(2),Jimmy Page/John Bonham/John Paul Jones,Rock
83,Travelling Riverside Blues,Jimmy Page/Robert Johnson/Robert Plant,Rock
84,Whole Lotta Love,Jimmy Page/John Bonham/John Paul Jones/Robert Plant/Willie Dixon,Rock
85,Somethin' Else,Bob Cochran/Sharon Sheeley,Rock
86,Communication Breakdown(3),Jimmy Page/John Bonham/John Paul Jones,Rock
87,I Can't Quit You Baby(2),Willie Dixon,Rock
88,You Shook Me(2),J B Lenoir/Willie Dixon,Rock
89,How Many More Times,Chester Burnett/Jimmy Page/John Bonham/John Paul Jones/Robert Plant,Rock
90,Debra Kadabra,Frank Zappa,Rock
91,Carolina Hard-Core Ecstasy,Frank Zappa,Rock
92,Sam With The Showing Scalp Flat Top,Don Van Vliet,Rock
93,Poofter's Froth Wyoming Plans Ahead,Frank Zappa,Rock
94,200 Years Old,Frank Zappa,Rock
95,Cucamonga,Frank Zappa,Rock
96,Advance Romance,Frank Zappa,Rock
97,Man With The Woman Head,Don Van Vliet,Rock
98,Muffin Man,Frank Zappa,Rock
99,A Kind Of Magic,Roger Taylor,Rock
100,Under Pressure,Queen & David Bowie,Rock
101,Radio GA GA,Roger Taylor,Rock
102,I Want It All,Queen,Rock
103,I Want To Break Free,John Deacon,Rock
104,Innuendo,Queen,Rock
105,It's A Hard Life,Freddie Mercury,Rock
106,Breakthru,Queen,Rock
107,Who Wants To Live Forever,Brian May,Rock
108,Headlong,Queen,Rock
109,The Miracle,Queen,Rock
110,I'm Going Slightly Mad,Queen,Rock
111,The Invisible Man,Queen,Rock
112,Hammer To Fall,Brian May,Rock
113,Friends Will Be Friends,Freddie Mercury & John Deacon,Rock
114,The Show Must Go On,Queen,Rock
115,One Vision,Queen,Rock
116,Detroit Rock City,"Paul Stanley, B. Ezrin",Rock
117,Black Diamond,Paul Stanley,Rock
118,Hard Luck Woman,Paul Stanley,Rock
119,Sure Know Something,"Paul Stanley, Vincent Poncia",Rock
120,Love Gun,Paul Stanley,Rock
121,Deuce,Gene Simmons,Rock
122,Goin' Blind,"Gene Simmons, S. Coronel",Rock
123,Shock Me,Ace Frehley,Rock
124,Do You Love Me,"Paul Stanley, B. Ezrin, K. Fowley",Rock
125,She,"Gene Simmons, S. Coronel",Rock
126,I Was Made For Loving You,"Paul Stanley, Vincent Poncia, Desmond Child",Rock
127,Shout It Out Loud,"Paul Stanley, Gene Simmons, B. Ezrin",Rock
128,God Of Thunder,Paul Stanley,Rock
129,Calling Dr. Love,Gene Simmons,Rock
130,Beth,"S. Penridge, Bob Ezrin, Peter Criss",Rock
131,Strutter,"Paul Stanley, Gene Simmons",Rock
132,Rock And Roll All Nite,"Paul Stanley, Gene Simmons",Rock
133,Cold Gin,Ace Frehley,Rock
134,Plaster Caster,Gene Simmons,Rock
135,God Gave Rock 'n' Roll To You,"Paul Stanley, Gene Simmons, Rus Ballard, Bob Ezrin",Rock
136,Into The Light,David Coverdale,Rock
137,River Song,David Coverdale,Rock
138,She Give Me ...,David Coverdale,Rock
139,Don't You Cry,David Coverdale,Rock
140,Love Is Blind,David Coverdale/Earl Slick,Rock
141,Slave,David Coverdale/Earl Slick,Rock
142,Cry For Love,Bossi/David Coverdale/Earl Slick,Rock
143,Living On Love,Bossi/David Coverdale/Earl Slick,Rock
144,Midnight Blue,David Coverdale/Earl Slick,Rock
145,Too Many Tears,Adrian Vanderberg/David Coverdale,Rock
146,Don't Lie To Me,David Coverdale/Earl Slick,Rock
147,Wherever You May Go,David Coverdale,Rock
148,Burn,Coverdale/Lord/Paice,Rock
149,Stormbringer,Coverdale,Rock
150,Gypsy,Coverdale/Hughes/Lord/Paice,Rock
151,Lady Double Dealer,Coverdale,Rock
152,Mistreated,Coverdale,Rock
153,Smoke On The Water,Gillan/Glover/Lord/Paice,Rock
154,You Fool No One,Coverdale/Lord/Paice,Rock
155,Custard Pie,Jimmy Page/Robert Plant,Rock
156,The Rover,Jimmy Page/Robert Plant,Rock
157,In My Time Of Dying,John Bonham/John Paul Jones,Rock
158,Houses Of The Holy,Jimmy Page/Robert Plant,Rock
159,Trampled Under Foot,John Paul Jones,Rock
160,Kashmir,John Bonham,Rock
161,(Da Le) Yaleo,Santana,Rock
162,Love Of My Life,Carlos Santana & Dave Matthews,Rock
163,Put Your Lights On,E. Shrody,Rock
164,Africa Bamba,"I. Toure, S. Tidiane Toure, Carlos Santana & K. Perazzo",Rock
165,Smooth,M. Itaal Shur & Rob Thomas,Rock
166,Do You Like The Way,L. Hill,Rock
167,Maria Maria,"W. Jean, J. Duplessis, Carlos Santana, K. Perazzo & R. Rekow",Rock
168,Migra,"R. Taha, Carlos Santana & T. Lindsay",Rock
169,Corazon Espinado,F. Olivera,Rock
170,Wishing It Was,"Eale-Eye Cherry, M. Simpson, J. King & M. Nishita",Rock
171,El Farol,Carlos Santana & KC Porter,Rock
172,Primavera,KC Porter & JB Eckl,Rock
173,The Calling,Carlos Santana & C. Thompson,Rock
174,Space Truckin',Blackmore/Gillan/Glover/Lord/Paice,Rock
175,Going Down / Highway Star,Gillan/Glover/Lord/Nix - Blackmore/Paice,Rock
176,Mistreated (Alternate Version),Blackmore/Coverdale,Rock
177,You Fool No One (Alternate Version),Blackmore/Coverdale/Lord/Paice,Rock
178,Susie Q,Hawkins-Lewis-Broadwater,Rock
179,I Put A Spell On You,Jay Hawkins,Rock
180,Proud Mary,J. C. Fogerty,Rock
181,Bad Moon Rising,J. C. Fogerty,Rock
182,Lodi,J. C. Fogerty,Rock
183,Green River,J. C. Fogerty,Rock
184,Commotion,J. C. Fogerty,Rock
185,Down On The Corner,J. C. Fogerty,Rock
186,Fortunate Son,J. C. Fogerty,Rock
187,Travelin' Band,J. C. Fogerty,Rock
188,Who'll Stop The Rain,J. C. Fogerty,Rock
189,Up Around The Bend,J. C. Fogerty,Rock
190,Run Through The Jungle,J. C. Fogerty,Rock
191,Lookin' Out My Back Door,J. C. Fogerty,Rock
192,Long As I Can See The Light,J. C. Fogerty,Rock
193,I Heard It Through The Grapevine,Whitfield-Strong,Rock
194,Have You Ever Seen The Rain?,J. C. Fogerty,Rock
195,Hey Tonight,J. C. Fogerty,Rock
196,Sweet Hitch-Hiker,J. C. Fogerty,Rock
197,Someday Never Comes,J. C. Fogerty,Rock
198,Walking On The Water,J.C. Fogerty,Rock
199,"Suzie-Q, Pt. 2",J.C. Fogerty,Rock
200,Born On The Bayou,J.C. Fogerty,Rock
201,Good Golly Miss Molly,J.C. Fogerty,Rock
202,Tombstone Shadow,J.C. Fogerty,Rock
203,Wrote A Song For Everyone,J.C. Fogerty,Rock
204,Night Time Is The Right Time,J.C. Fogerty,Rock
205,Cotton Fields,J.C. Fogerty,Rock
206,It Came Out Of The Sky,J.C. Fogerty,Rock
207,Don't Look Now,J.C. Fogerty,Rock
208,The Midnight Special,J.C. Fogerty,Rock
209,Before You Accuse Me,J.C. Fogerty,Rock
210,My Baby Left Me,J.C. Fogerty,Rock
211,Pagan Baby,J.C. Fogerty,Rock
212,(Wish I Could) Hideaway,J.C. Fogerty,Rock
213,It's Just A Thought,J.C. Fogerty,Rock
214,Molina,J.C. Fogerty,Rock
215,Born To Move,J.C. Fogerty,Rock
216,Lookin' For A Reason,J.C. Fogerty,Rock
217,Hello Mary Lou,J.C. Fogerty,Rock
218,Comin' Home,Bolin/Coverdale/Paice,Rock
219,Lady Luck,Cook/Coverdale,Rock
220,Gettin' Tighter,Bolin/Hughes,Rock
221,Dealer,Bolin/Coverdale,Rock
222,I Need Love,Bolin/Coverdale,Rock
223,Drifter,Bolin/Coverdale,Rock
224,Love Child,Bolin/Coverdale,Rock
225,This Time Around / Owed to 'G' [Instrumental],Bolin/Hughes/Lord,Rock
226,You Keep On Moving,Coverdale/Hughes,Rock
227,Speed King,"Blackmore, Gillan, Glover, Lord, Paice",Rock
228,Bloodsucker,"Blackmore, Gillan, Glover, Lord, Paice",Rock
229,Child In Time,"Blackmore, Gillan, Glover, Lord, Paice",Rock
230,Flight Of The Rat,"Blackmore, Gillan, Glover, Lord, Paice",Rock
231,Into The Fire,"Blackmore, Gillan, Glover, Lord, Paice",Rock
232,Living Wreck,"Blackmore, Gillan, Glover, Lord, Paice",Rock
233,Hard Lovin' Man,"Blackmore, Gillan, Glover, Lord, Paice",Rock
234,Fireball,"Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice",Rock
235,No No No,"Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice",Rock
236,Strange Kind Of Woman,"Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice",Rock
237,Anyone's Daughter,"Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice",Rock
238,The Mule,"Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice",Rock
239,Fools,"Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice",Rock
240,No One Came,"Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice",Rock
241,Knocking At Your Back Door,"Richie Blackmore, Ian Gillian, Roger Glover",Rock
242,Bad Attitude,"Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord",Rock
243,Child In Time (Son Of Aleric - Instrumental),"Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord, Ian Paice",Rock
244,Nobody's Home,"Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord, Ian Paice",Rock
245,Black Night,"Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord, Ian Paice",Rock
246,Perfect Strangers,"Richie Blackmore, Ian Gillian, Roger Glover",Rock
247,The Unwritten Law,"Richie Blackmore, Ian Gillian, Roger Glover, Ian Paice",Rock
248,Call Of The Wild,"Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord",Rock
249,Hush,South,Rock
250,Smoke On The Water,"Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord, Ian Paice",Rock
251,Space Trucking,"Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord, Ian Paice",Rock
252,Highway Star,Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,Rock
253,Maybe I'm A Leo,Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,Rock
254,Pictures Of Home,Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,Rock
255,Never Before,Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,Rock
256,Smoke On The Water,Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,Rock
257,Lazy,Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,Rock
258,Space Truckin',Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,Rock
259,Vavoom : Ted The Mechanic,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",Rock
260,Loosen My Strings,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",Rock
261,Soon Forgotten,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",Rock
262,Sometimes I Feel Like Screaming,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",Rock
263,Cascades : I'm Not Your Lover,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",Rock
264,The Aviator,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",Rock
265,Rosa's Cantina,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",Rock
266,A Castle Full Of Rascals,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",Rock
267,A Touch Away,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",Rock
268,Hey Cisco,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",Rock
269,Somebody Stole My Guitar,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",Rock
270,The Purpendicular Waltz,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",Rock
271,King Of Dreams,"Blackmore, Glover, Turner",Rock
272,The Cut Runs Deep,"Blackmore, Glover, Turner, Lord, Paice",Rock
273,Fire In The Basement,"Blackmore, Glover, Turner, Lord, Paice",Rock
274,Truth Hurts,"Blackmore, Glover, Turner",Rock
275,Breakfast In Bed,"Blackmore, Glover, Turner",Rock
276,Love Conquers All,"Blackmore, Glover, Turner",Rock
277,Fortuneteller,"Blackmore, Glover, Turner, Lord, Paice",Rock
278,Too Much Is Not Enough,"Turner, Held, Greenwood",Rock
279,Wicked Ways,"Blackmore, Glover, Turner, Lord, Paice",Rock
280,Stormbringer,D.Coverdale/R.Blackmore/Ritchie Blackmore,Rock
281,Love Don't Mean a Thing,D.Coverdale/G.Hughes/Glenn Hughes/I.Paice/Ian Paice/J.Lord/John Lord/R.Blackmore/Ritchie Blackmore,Rock
282,Holy Man,D.Coverdale/G.Hughes/Glenn Hughes/J.Lord/John Lord,Rock
283,Hold On,D.Coverdal/G.Hughes/Glenn Hughes/I.Paice/Ian Paice/J.Lord/John Lord,Rock
284,Lady Double Dealer,D.Coverdale/R.Blackmore/Ritchie Blackmore,Rock
285,You Can't Do it Right (With the One You Love),D.Coverdale/G.Hughes/Glenn Hughes/R.Blackmore/Ritchie Blackmore,Rock
286,High Ball Shooter,D.Coverdale/G.Hughes/Glenn Hughes/I.Paice/Ian Paice/J.Lord/John Lord/R.Blackmore/Ritchie Blackmore,Rock
287,The Gypsy,D.Coverdale/G.Hughes/Glenn Hughes/I.Paice/Ian Paice/J.Lord/John Lord/R.Blackmore/Ritchie Blackmore,Rock
288,Soldier Of Fortune,D.Coverdale/R.Blackmore/Ritchie Blackmore,Rock
289,The Battle Rages On,ian paice/jon lord,Rock
290,Lick It Up,roger glover,Rock
291,Anya,jon lord/roger glover,Rock
292,Talk About Love,roger glover,Rock
293,Time To Kill,roger glover,Rock
294,Ramshackle Man,roger glover,Rock
295,A Twist In The Tail,roger glover,Rock
296,Nasty Piece Of Work,jon lord/roger glover,Rock
297,Solitaire,roger glover,Rock
298,One Man's Meat,roger glover,Rock
299,Pour Some Sugar On Me,,Rock
300,Photograph,,Rock
301,Love Bites,,Rock
302,Let's Get Rocked,,Rock
303,Two Steps Behind [Acoustic Version],,Rock
304,Animal,,Rock
305,Heaven Is,,Rock
306,Rocket,,Rock
307,When Love & Hate Collide,,Rock
308,Action,,Rock
309,Make Love Like A Man,,Rock
310,Armageddon It,,Rock
311,Have You Ever Needed Someone So Bad,,Rock
312,Rock Of Ages,,Rock
313,Hysteria,,Rock
314,Bringin' On The Heartbreak,,Rock
315,Get Out,"Mike Bordin, Billy Gould, Mike Patton",Rock
316,Ricochet,"Mike Bordin, Billy Gould, Mike Patton",Rock
317,Evidence,"Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",Rock
318,The Gentle Art Of Making Enemies,"Mike Bordin, Billy Gould, Mike Patton",Rock
319,Star A.D.,"Mike Bordin, Billy Gould, Mike Patton",Rock
320,Cuckoo For Caca,"Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",Rock
321,Caralho Voador,"Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",Rock
322,Ugly In The Morning,"Mike Bordin, Billy Gould, Mike Patton",Rock
323,Digging The Grave,"Mike Bordin, Billy Gould, Mike Patton",Rock
324,Take This Bottle,"Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",Rock
325,King For A Day,"Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",Rock
326,What A Day,"Mike Bordin, Billy Gould, Mike Patton",Rock
327,The Last To Know,"Mike Bordin, Billy Gould, Mike Patton",Rock
328,Just A Man,"Mike Bordin, Billy Gould, Mike Patton",Rock
329,Absolute Zero,"Mike Bordin, Billy Gould, Mike Patton",Rock
330,In Your Honor,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",Rock
331,No Way Back,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",Rock
332,Best Of You,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",Rock
333,DOA,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",Rock
334,Hell,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",Rock
335,The Last Song,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",Rock
336,Free Me,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",Rock
337,Resolve,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",Rock
338,The Deepest Blues Are Black,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",Rock
339,End Over End,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",Rock
340,Still,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",Rock
341,What If I Do?,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",Rock
342,Miracle,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",Rock
343,Another Round,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",Rock
344,Friend Of A Friend,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",Rock
345,Over And Out,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",Rock
346,On The Mend,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",Rock
347,Virginia Moon,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",Rock
348,Cold Day In The Sun,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",Rock
349,Razor,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",Rock
350,Doll,"Dave, Taylor, Nate, Chris",Rock
351,Monkey Wrench,"Dave, Taylor, Nate, Chris",Rock
352,"Hey, Johnny Park!","Dave, Taylor, Nate, Chris",Rock
353,My Poor Brain,"Dave, Taylor, Nate, Chris",Rock
354,Wind Up,"Dave, Taylor, Nate, Chris",Rock
355,Up In Arms,"Dave, Taylor, Nate, Chris",Rock
356,My Hero,"Dave, Taylor, Nate, Chris",Rock
357,See You,"Dave, Taylor, Nate, Chris",Rock
358,Enough Space,Dave Grohl,Rock
359,February Stars,"Dave, Taylor, Nate, Chris",Rock
360,Everlong,Dave Grohl,Rock
361,Walking After You,Dave Grohl,Rock
362,New Way Home,"Dave, Taylor, Nate, Chris",Rock
363,Welcome to the Jungle,,Rock
364,It's So Easy,,Rock
365,Nightrain,,Rock
366,Out Ta Get Me,,Rock
367,Mr. Brownstone,,Rock
368,Paradise City,,Rock
369,My Michelle,,Rock
370,Think About You,,Rock
371,Sweet Child O' Mine,,Rock
372,You're Crazy,,Rock
373,Anything Goes,,Rock
374,Rocket Queen,,Rock
375,Right Next Door to Hell,,Rock
376,Dust N' Bones,,Rock
377,Live and Let Die,,Rock
378,Don't Cry (Original),,Rock
379,Perfect Crime,,Rock
380,You Ain't the First,,Rock
381,Bad Obsession,,Rock
382,Back off Bitch,,Rock
383,Double Talkin' Jive,,Rock
384,November Rain,,Rock
385,The Garden,,Rock
386,Garden of Eden,,Rock
387,Don't Damn Me,,Rock
388,Bad Apples,,Rock
389,Dead Horse,,Rock
390,Coma,,Rock
391,Different World,,Rock
392,These Colours Don't Run,,Rock
393,Brighter Than a Thousand Suns,,Rock
394,The Pilgrim,,Rock
395,The Longest Day,,Rock
396,Out of the Shadows,,Rock
397,The Reincarnation of Benjamin Breeg,,Rock
398,For the Greater Good of God,,Rock
399,Lord of Light,,Rock
400,The Legacy,,Rock
401,Hallowed Be Thy Name (Live) [Non Album Bonus Track],,Rock
402,The Wicker Man,Adrian Smith/Bruce Dickinson/Steve Harris,Rock
403,Ghost Of The Navigator,Bruce Dickinson/Janick Gers/Steve Harris,Rock
404,Brave New World,Bruce Dickinson/David Murray/Steve Harris,Rock
405,Blood Brothers,Steve Harris,Rock
406,The Mercenary,Janick Gers/Steve Harris,Rock
407,Dream Of Mirrors,Janick Gers/Steve Harris,Rock
408,The Fallen Angel,Adrian Smith/Steve Harris,Rock
409,The Nomad,David Murray/Steve Harris,Rock
410,Out Of The Silent Planet,Bruce Dickinson/Janick Gers/Steve Harris,Rock
411,The Thin Line Between Love & Hate,David Murray/Steve Harris,Rock
412,Be Quick Or Be Dead,Bruce Dickinson/Janick Gers,Rock
413,From Here To Eternity,Steve Harris,Rock
414,Afraid To Shoot Strangers,Steve Harris,Rock
415,Fear Is The Key,Bruce Dickinson/Janick Gers,Rock
416,Childhood's End,Steve Harris,Rock
417,Wasting Love,Bruce Dickinson/Janick Gers,Rock
418,The Fugitive,Steve Harris,Rock
419,Chains Of Misery,Bruce Dickinson/David Murray,Rock
420,The Apparition,Janick Gers/Steve Harris,Rock
421,Judas Be My Guide,Bruce Dickinson/David Murray,Rock
422,Weekend Warrior,Janick Gers/Steve Harris,Rock
423,Fear Of The Dark,Steve Harris,Rock
424,Be Quick Or Be Dead,,Rock
425,The Number Of The Beast,,Rock
426,Wrathchild,,Rock
427,From Here To Eternity,,Rock
428,Can I Play With Madness,,Rock
429,Wasting Love,,Rock
430,Tailgunner,,Rock
431,The Evil That Men Do,,Rock
432,Afraid To Shoot Strangers,,Rock
433,Fear Of The Dark,,Rock
434,Bring Your Daughter... To The Slaughter...,,Rock
435,The Clairvoyant,,Rock
436,Heaven Can Wait,,Rock
437,Run To The Hills,,Rock
438,2 Minutes To Midnight,Adrian Smith/Bruce Dickinson,Rock
439,Iron Maiden,,Rock
440,Hallowed Be Thy Name,,Rock
441,The Trooper,,Rock
442,Sanctuary,,Rock
443,Running Free,,Rock
444,Dream Of Mirrors,Janick Gers/Steve Harris,Rock
445,The Clansman,Steve Harris,Rock
446,Fear Of The Dark,Steve Harris,Rock
447,Iron Maiden,Steve Harris,Rock
448,The Number Of The Beast,Steve Harris,Rock
449,Hallowed Be Thy Name,Steve Harris,Rock
450,Sanctuary,David Murray/Paul Di'Anno/Steve Harris,Rock
451,Run To The Hills,Steve Harris,Rock
452,The Number Of The Beast,Steve Harris,Rock
453,Sign Of The Cross,Steve Harris,Rock
454,Lord Of The Flies,Janick Gers/Steve Harris,Rock
455,Man On The Edge,Blaze Bayley/Janick Gers,Rock
456,Fortunes Of War,Steve Harris,Rock
